Name,Arp,RA,Dec,Diam
,0052-431,13.5809,-42.924,0.4
,0052-660,13.5757,-65.8557,0.8
,0052-603,13.6356,-60.2857,0.7
,0052-575,13.6506,-57.7257,0.2
,0052-321,13.7333,-32.0258,0.8
,0052-375,13.7487,-37.6775,9.9
,0053-242,13.882,-24.1593,1.0
,0053-243,13.9359,-24.2444,1.1
,0053-304,13.9268,-30.5377,0.5
,0053-374,13.9485,-37.3994,1.5
,0053-504,13.9398,-50.4694,1.6
,0053-532,14.0351,-53.1862,1.1
,0053-353,14.081,-35.2512,0.6
,0054-533,14.1631,-53.2747,0.4
,0054-310,14.2254,-30.8714,10.8
,0054-634,14.1723,-63.4763,0.9
,0054-240,14.2858,-23.8215,0.1
,0054-241,14.2981,-23.9431,0.6
,0054-401,14.2839,-39.9798,1.6
,0214-475,34.0239,-47.7119,0.4
,0054-435,14.2967,-43.7281,0.2
,0055-494,14.3319,-49.5115,1.4
,0055-274,14.4467,-27.5033,2.5
,0055-464,14.4147,-46.4483,1.1
,0055-491,14.4082,-48.9049,1.3
,0055-232,14.5943,-23.2252,0.4
,0056-535,14.6174,-53.6235,0.1
,0056-535,14.6215,-53.6202,0.3
,0056-535,14.7785,-53.7254,0.4
,0057-425,14.8633,-42.6572,0.9
,0057-541,14.8809,-54.0238,0.3
,0057-222,14.9576,-22.1606,1.1
,0057-304,14.9947,-30.4873,0.2
,0058-682,14.9919,-68.134,1.3
,0058-311,15.1809,-30.9309,0.8
,0058-220,15.1994,-21.7526,0.3
,0058-480,15.1488,-47.8692,0.4
,0058-665,15.0623,-66.6191,0.5
,0058-580,15.1393,-57.7442,0.3
,0058-391,15.253,-39.0026,0.4
,0059-673,15.3534,-67.2995,0.4
,0059-384,15.5031,-38.5246,0.4
,0059-254,15.5472,-25.5297,1.8
,0059-385,15.5443,-38.6613,0.4
,0100-321,15.5946,-31.9347,4.0
,0100-543,15.5794,-54.3231,1.6
,0100-472,15.7062,-47.1832,0.5
,0100-614,15.6583,-61.4232,0.3
,0100-820,15.3469,-81.8113,2.7
,0101-333,15.9287,-33.2702,0.4
,0101-280,15.9426,-27.7502,0.9
,0101-234,15.9744,-23.4869,0.4
,0102-335,16.1232,-33.6521,0.7
,0102-511,16.0798,-51.0354,1.0
,0102-464,16.102,-46.5004,1.5
,0102-274,16.2383,-27.4256,2.0
,0102-642,16.1326,-64.1238,1.1
,0102-391,16.2616,-39.0356,0.7
,0102-610,16.236,-60.8123,0.4
,0103-224,16.3586,-22.4674,0.7
,0103-572,16.3411,-57.2291,0.7
,0103-415,16.4007,-41.6591,0.4
,0103-234,16.5234,-23.4093,0.4
