Arp,RA,Dec,Score,Notes
1257-450,195.1248,-45.3859,2,
1305-223,196.9365,-22.8568,2,
1305-280,196.9876,-28.3518,2,
1305-280,197.0544,-28.2967,2,
1306-474,197.4183,-47.9562,2,peek at blue thing off frame to right before rejecting
1307-464,197.6414,-46.9926,2,
1308-233,197.6897,-23.8658,2,
1315-365,199.6812,-37.2244,2,Check out the blue weird stuff to upper right of larger frame before rejecting
1317-270,199.9597,-27.4073,2,a bit too large but with 2 pointings would be lovely
1317-354,200.0628,-36.0405,2,
1326-340,202.3489,-34.2665,2,
1332-300,203.9515,-30.3885,2,"possible ring galaxy, maaaaybe"
1344-323,206.8706,-32.8642,2,possible shell/shelf galaxy. Maybe.
1351-261,208.6438,-26.5585,2,Adjust coordinates.  
1352-280,208.7325,-28.3417,2,adjust coordinates.  
1358-221,210.2814,-22.5596,2,Neighbor from 2 back.
1358-221,210.3524,-22.5728,2,Neighbor from 2 back.
1400-221,210.8407,-22.5533,2,
1403-322,211.6493,-32.5746,2,
1408-292,212.8546,-29.6499,2,
1411-291,213.652,-29.5594,2,
1411-434,213.7753,-43.9625,2,low galactic latitude
1414-235,214.4103,-24.184,2,why are you triangular?
1416-262,214.8444,-26.6445,2,
1427-340,217.5631,-34.2335,2,
1452-380,223.8956,-38.2753,2,
1516-410,229.8296,-41.2312,2,very low galactic latitude...
1724-622,262.2849,-62.4385,2,low galactic latitude but cool. Adjust to get interaction partner.
1733-595,264.4064,-59.9449,2,"very thin outer spirial arm, but low latitude"
1800-593,271.1778,-59.597,2,
1830-583,278.591,-58.4977,2,low latitude but occultor
1839-525,280.9775,-52.851,2,
1843-631,281.9317,-63.1919,2,Shift coords up before rejecting...
1843-651,282.227,-65.174,2,
1847-523,282.8426,-52.5888,2,
1921-534,291.357,-53.6142,2,
1926-672,292.8649,-67.3713,2,
1926-672,292.9133,-67.3261,2,
1933-422,294.2688,-42.2942,2,
1952-603,299.1982,-60.4681,2,slight dust lanes on elliptical.
1958-561,300.6956,-56.0899,2,
2005-555,302.384,-55.6929,2,
2013-470,304.1479,-46.9671,2,ring but distant
2013-470,304.2094,-46.8752,2,ring but distant
2016-392,304.9165,-39.2873,2,
2021-724,306.6806,-72.6147,2,interesting ring. Distant but cool.
2028-592,308.0754,-59.2435,2,
2035-412,309.7631,-41.1834,2,"ring, but distant."
2036-734,310.5348,-73.6182,2,
2039-613,310.9022,-61.4079,2,
2116-395,320.0289,-39.7645,2,
2119-365,320.6322,-36.6793,2,
2128-470,322.8934,-46.8908,2,
2133-830,325.2325,-82.799,2,
2134-562,324.4531,-56.228,2,
2144-504,327.0154,-50.5642,2,
2146-525,327.4778,-52.6863,2,little plume on the upper galaxy.
2148-554,328.0716,-55.5664,2,
2157-432,330.1518,-43.1411,2,
2159-472,330.7111,-47.1981,2,
2208-304,332.8047,-30.5681,2,
2212-460,333.9025,-45.8524,2,
2217-801,335.748,-79.9991,2,
2224-431,336.8532,-43.0163,2,
2227-613,337.6516,-61.3599,2,In IRAS catalog so maybe starburst?
2229-253,338.0329,-25.3991,2,shells?
2240-400,340.8189,-39.8709,2,
2254-434,344.3055,-43.4057,2,probably too large
2316-272,349.6839,-27.1313,2,
2316-225,349.7581,-22.7163,2,
2316-225,349.8162,-22.6546,2,
2322-821,351.6227,-81.9132,2,
2345-572,356.9578,-57.067,2,
8,20.5975,-0.875,2,
9,123.7475,73.58,2,
13,345.01,15.99,2,
17,116.1375,73.83,2,
0004-220,1.792,-21.785,2,
0013-322,3.8797,-32.1821,2,Shift to get faint blue companion to upper right?
0016-361,4.6545,-35.9423,2,
0017-772,5.0141,-77.0941,2,
0029-403,8.0421,-40.2641,2,
0030-223,8.3288,-22.3609,2,
0031-310,8.546,-30.7744,2,
0036-432,9.8141,-43.077,2,
0040-223,10.7657,-22.2562,2,
0041-390,10.8537,-38.7562,2,
0041-502,10.85,-50.1846,2,
0045-230,11.8962,-22.8022,2,
0050-370,13.2023,-36.7769,2,
0058-682,14.9919,-68.134,2,One giant LSB spiral arm...
0100-543,15.5794,-54.3231,2,
0102-274,16.2383,-27.4256,2,
0119-613,20.3725,-61.3569,2,
0130-385,23.1121,-38.68,2,
0134-425,24.1034,-42.5886,2,
0136-500,24.7244,-49.7915,2,
0147-350,27.431,-34.8372,2,
0150-334,28.0542,-33.5486,2,
0156-562,29.6392,-56.2508,2,
0205-712,31.4805,-71.1189,2,
0217-413,34.996,-41.4062,2,
0229-421,37.9448,-42.0463,2,Do we believe that blue nebulosity? Probably not...
0236-273,39.7607,-27.4468,2,
0247-385,42.3817,-38.7685,2,
0251-580,43.0949,-57.9444,2,
0300-243,45.6251,-24.4576,2,
0306-702,46.5957,-70.2402,2,
0335-434,54.3253,-43.5834,2,
0346-393,57.1233,-39.4262,2,
0355-603,59.1976,-60.4236,2,
0408-312,62.5114,-31.2604,2,
0411-343,63.2867,-34.4288,2,
0411-240,63.4295,-24.0293,2,
0411-254,63.492,-25.6029,2,Very long LSB tidal arm.
0413-561,63.6524,-56.0791,2,
0413-380,63.8535,-38.0196,2,ring but distant
0414-574,63.9825,-57.649,2,
0415-475,64.1261,-47.8527,2,
0416-501,64.4435,-50.1608,2,
0417-662,64.4582,-66.3098,2,
0418-364,65.0358,-36.6881,2,
0418-513,65.0528,-51.4401,2,
0425-333,66.8501,-33.5261,2,
0426-550,66.8949,-55.0268,2,
0426-550,66.9776,-55.0555,2,
0427-480,67.2799,-48.0283,2,
0437-780,68.8119,-78.034,2,
0445-360,71.7407,-35.9134,2,
0446-622,71.8759,-62.3714,2,
0450-614,72.8594,-61.6442,2,
0457-224,74.8948,-22.6979,2,
