Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore0154-441,3,,,ESO 245- G 010,0.036,G,5740,,2.4,Sb pec,Sb pec,,,,,,10.828,0.047,3.11E-28,1.38E-29,,< 1.784E-01,,< 1.78E-27,6.520E-01,8%,6.52E-27,5.22E-28,,,,,,,,,68.00,123.03,40,153,29.181,-43.9696
Arp-Madore0155-580,3,Weird but not super weird spiral. Could cut...,,NGC 0782,0.054,G,6098,,2.3,SB(r)b,SB(r)b,,,,,,9.145,0.042,1.47E-27,5.78E-29,1.939E-01,10%,1.94E-27,1.71E-28,1.766E+00,5%,1.77E-26,8.83E-28,,,,,,,,,98.20,149.62,54,154,29.4074,-57.7869
Arp-Madore0159-215,3,Distant. Could cut if needed.,,ESO 544- G 007,0.060,G,13161,,1.17,S?,S?,,,,,,10.520,0.047,4.13E-28,1.83E-29,,< 1.464E-01,,< 1.46E-27,3.110E-01,15%,3.11E-27,4.67E-28,3.7,0.5,3.70E-29,5.00E-30,,,,,44.40,66.83,18,155,30.5676,-21.7579
Arp-Madore0200-220,3,,WARNING: Same object as in entry 155 - Arp-Madore0159-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,30.5842,-21.7646
Arp-Madore0203-325,3,,,ESO 354- G 034,0.043,G,5903,,1.2,(R)SAB(l)0^+,(R)SAB0^+,,19.5132,0.157851,5.69E-31,8.26E-32,10.449,0.078,4.41E-28,3.28E-29,,,,,,,,,,,,,,,,,46.80,64.57,23,157,31.4353,-32.6784
Arp-Madore0211-732,3,"Check other imaging. If diffuse stuff not there, cut.",,ESO 030- G 011,0.106,G,8067,,1.7,(R')SA(s)ab?,(R')SA(s)ab?,,,> 20.6789,,> 1.94E-31,11.257,0.049,2.10E-28,9.67E-30,,,,,,,,,,,,,,,,,21.20,32.73,12,158,32.8924,-73.1626
Arp-Madore0218-321,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,35.2573,-31.9435
Arp-Madore0223-245,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,36.4895,-24.712
Arp-Madore0223-403,3,,,ESO 299-IG 001,0.039,GPair,5792,,,(cE0) + (Sa pec),pair,,,,,,,,,,3.808E-01,6%,3.81E-27,8.39E-29,3.909E+00,4%,3.91E-26,1.56E-27,,,,,,,,,,,13,161,36.3046,-40.4299
Arp-Madore0226-320,3,,,ESO 415- G 026,0.047,G,4604,,1.3,S0^0^: pec,S0^0? pec,,19.6311,0.183710,5.10E-31,8.63E-32,10.704,0.038,3.49E-28,1.24E-29,,,,,,,,,,,,,,,,,46.40,71.61,52,162,37.0822,-31.8804
Arp-Madore0227-264,3,,,ESO 479- G 009,0.049,G,4871,,0.91,Sb?,Sb?,,,,,,,,,,,< 1.563E-01,,< 1.56E-27,6.494E-01,14%,6.49E-27,9.09E-28,8.4,0.6,8.40E-29,6.00E-30,,,,,,63.10,14,163,37.3647,-26.5345
Arp-Madore0227-484,3,Probably not a collisional ring.,,ESO 198- G 013,0.052,G,5452,,1.7,(R)SA(r)ab,(R')SA(r)ab?,,,,,,11.003,0.047,2.65E-28,1.17E-29,,< 7.896E-02,,< 7.90E-28,1.790E-01,17%,1.79E-27,3.04E-28,,,,,,,,,32.60,96.61,25,164,37.321,-48.4912
Arp-Madore0230-524,3,"A little distant, but pretty disturbed.",ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,38.0918,-52.5119
Arp-Madore0230-524,3,"A little distant, but pretty disturbed.",ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,38.0918,-52.5119
Arp-Madore0230-524,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,38.1251,-52.4936
Arp-Madore0230-524,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,38.1251,-52.4936
Arp-Madore0239-242,3,,,ESO 479- G 025,0.061,G,1545,,1.6,S.../Irr       HII,S with extended material / Irr,,16.5107,0.0294127,9.03E-30,2.45E-31,,,,,,< 9.573E-02,,< 9.57E-28,6.823E-01,7%,6.82E-27,4.78E-28,4.5,0.6,4.50E-29,6.00E-30,,,,,,109.65,34,167,40.5221,-24.1308
Arp-Madore0257-370,3,Could cut. Would  be better served by deep ground based...,,AM 0257-370,0.060,G,,,3.9,S0 pec,S0,,20.8680,0.308732,1.63E-31,4.64E-32,10.942,0.075,2.80E-28,2.00E-29,,,,,,,,,,,,,,,,,27.20,,5,168,44.9885,-36.9422
Arp-Madore0300-222,3,,,Arp108,0.064,GPair,,,,E+S,M51 Type,,,,,,,,,,,< 1.491E-01,,< 1.49E-27,3.894E-01,9%,3.89E-27,3.50E-28,,,,,,,,,,,8,169,45.78,-22.2132
Arp-Madore0307-411,3,"ESO 300- G 014, Vr=955 km/s, in S4G; obs is only FOC",,ESO 300- G 014,0.044,G,955,,5.0,SAB:(s)dm,SAB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,218.78,55,170,47.4081,-41.0324
Arp-Madore0311-252,3,"UGCA 061, Vr=1733km/s, in S4G. HI",,UGCA 061,0.045,G,1733,,4.0,SB(s)m: sp,SB(s)m? edge-on,,,,,,,,,,,< 1.041E-01,,< 1.04E-27,1.866E-01,20%,1.87E-27,3.73E-28,,,,,,,,,,186.21,57,171,48.4177,-25.1859
Arp-Madore0311-573,3,"ESO 116- G 012. Vr=1146, HRC, FOS, single WFPC2. Check. in S4G",,ESO 116- G 012,0.061,G,1146,,3.5,SB(s)m,SB(s)d?,,,,,,10.071,0.082,6.25E-28,4.90E-29,,< 1.353E-01,,< 1.35E-27,1.020E+00,6%,1.02E-26,6.12E-28,,,,,,,,,77.60,192.75,65,172,48.2661,-57.3424
Arp-Madore0313-545,4,,,IC 1908,0.047,G,8295,,1.3,SB(rs)b pec,SB(rs)b pec,,,,,,,,,,2.831E-01,7%,2.83E-27,5.26E-29,3.440E+00,4%,3.44E-26,1.38E-27,,,,,,,,,,,21,14,48.7642,-54.8125
Arp-Madore0316-235,3,Vr=1538. Pretty weird but don't know if too LSB for obs to be useful...,,UGCA 065,0.059,G,1538,,2.0,IB(s)m,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,41.21,29,173,49.6845,-23.7838
Arp-Madore0316-543,3,Fairly distant. Could cut...,,AM 0316-543,0.071,GGroup,,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,174,49.4244,-54.3799
