Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore1401-243,3,Only 1 filter of WFPC2. Could cut -- lower priority.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,211.1563,-24.8292
Arp-Madore1401-243,3,Only 1 filter of WFPC2. Could cut -- lower priority.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,211.1563,-24.8292
Arp-Madore1401-243,3,UGCA 383 (Vr=2337 km/s; part of previous one UGCA 382...Double nucleus or is that dust (looks more single in 2MASS...???,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,211.1939,-24.8274
Arp-Madore1401-243,3,UGCA 383 (Vr=2337 km/s; part of previous one UGCA 382...Double nucleus or is that dust (looks more single in 2MASS...???,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,211.1939,-24.8274
Arp-Madore1401-252,3,"disrupting outer loop. Could be interesting, but could cut if needed.",,ESO 510- G 056,0.195,G,6215,,1.5,SA(r)ab,SA(rs)ab,,,,,,10.078,0.060,6.21E-28,3.53E-29,,,,,,,,,,,,,,,,,54.80,92.26,25,62,211.0669,-25.6411
Arp-Madore1419-263,3,Kinda far looking. Check redshift and cut if needed.,,ESO 511-IG 035,0.186,G,6758,,1.9,SB(s)0^0^? pec,SB0^0(s)? pec,,19.6645,0.355606,4.95E-31,1.62E-31,9.870,0.040,7.52E-28,2.82E-29,,,,,,,,,,,,,,,,,66.20,84.14,25,63,215.5257,-26.8593
Arp-Madore1421-282,3,,,AM 1421-282,0.212,GTrpl,,,,,,,,> 20.8433,,> 1.67E-31,,,,,,,,,,,,,,,,,,,,,,,2,64,215.979,-28.6847
Arp-Madore1426-224,3,unusual structure for edge on. Could cut.,,ESO 511- G 044,0.265,G,7752,,1.4,SBb            HII,SBb,,,,,,10.666,0.044,3.61E-28,1.49E-29,1.867E-01,23%,1.87E-27,3.58E-28,1.276E+00,9%,1.28E-26,1.15E-27,10.4,1.6,1.04E-28,1.60E-29,,,,,66.60,73.28,22,65,217.3445,-22.9307
Arp-Madore1440-241,4,,,AM 1440-241,0.312,GPair,,,,,interacting double,,,,,,,,,,,< 2.460E-01,,< 2.46E-27,9.796E-01,7%,9.80E-27,6.86E-28,,,,,,,,,,,4,46,220.8893,-24.4633
Arp-Madore1517-311,3,a bit distant. could cut. ,,ESO 449- G 005,0.541,G,5644,,2.7:,Sa:            HII,Sa?,,16.8668,0.0450511,6.51E-30,2.70E-31,9.971,0.049,6.85E-28,3.16E-29,3.596E-01,14%,3.60E-27,3.30E-28,2.601E+00,6%,2.60E-26,1.56E-27,18.2,0.7,1.82E-28,7.00E-30,,,,,52.40,,25,66,230.0742,-31.4268
Arp-Madore1546-284,3,"Low latitude so a bit hard to interpret, but nifty",,AM 1546-284,0.676,GPair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,237.3317,-28.9069
Arp-Madore1806-852,4,Why has no one looked at this weird thing yet???,,AM 1806-852,0.466,GPair,2572,,,E+S(?),interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47,275.6705,-85.4074
Arp-Madore1822-714,3,low latitude. Cut if needed.,,IC 4705,0.272,G,3589,,2.0,SB(s)a? pec,SB(s)a? pec,,,,,,9.780,0.037,8.17E-28,2.83E-29,1.076E-01,21%,1.08E-27,1.73E-28,4.644E-01,10%,4.64E-27,4.64E-28,,,,,,,,,67.60,82.22,22,68,277.0618,-71.701
Arp-Madore1847-645,3,"Vr=1006 km/s.  Irregular but not disturbed, so cut if needed.",,NGC 6684A,0.221,G,1006,,3.0,IB(s)m,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,149.62,23,69,283.0994,-64.8348
Arp-Madore1912-860,4,,,ESO 010- G 004,0.375,G,2435,,2.4,SB(rs)d,SB(s)dm,,,,,,,,,,5.051E-02,24%,5.05E-28,1.59E-28,3.045E-01,11%,3.04E-27,3.35E-28,,,,,,,,,,134.90,30,48,292.6274,-86.0162
Arp-Madore1914-603,4,,,VV 304,0.167,GPair,3783,,,,,,,,,,,,,,2.568E-01,8%,2.57E-27,2.12E-28,1.924E+00,7%,1.92E-26,1.35E-27,,,,,,,,,,,11,49,289.6525,-60.4972
Arp-Madore1931-610,3,Vr=1792 km/s,,IC 4869,0.224,G,1792,,1.9,SA(s)dm pec,SA(s)m,,,,,,12.195,0.128,8.83E-29,1.10E-29,,< 1.259E-01,,< 1.26E-27,5.887E-01,8%,5.89E-27,4.71E-28,,,,,,,,,32.20,104.71,22,70,294.0032,-61.0292
Arp-Madore1953-260,4,,,ESO 526- G 018,0.322,G,,,.9,Rings,with extended material,,,,,,,,,,,< 1.465E-01,,< 1.46E-27,3.313E-01,15%,3.31E-27,4.97E-28,5.4,0.5,5.40E-29,5.00E-30,,,,,,,8,50,299.1222,-25.9144
Arp-Madore1957-471,4,1 FOC observation,,NGC 6845,0.124,GGroup,6359,,,SB?,(triple / quadruple)?,,,,,,,,,,3.373E-01,10%,3.37E-27,1.79E-28,2.288E+00,9%,2.29E-26,2.06E-27,,,,,,,,,,,22,51,300.247,-47.0683
Arp-Madore1959-550,3,Could cut -- not that disturbed...,,IC 4933,0.127,G,4915,,2.3,SB(rs)bc,(R')SB(r)bc?,,,,,,9.699,0.040,8.80E-28,3.30E-29,3.977E-01,12%,3.98E-27,2.51E-28,3.761E+00,5%,3.76E-26,1.88E-27,,,,,,,,,88.60,118.85,36,71,300.8679,-54.9825
Arp-Madore2001-602,3,,,IC 4938,0.122,G,3741,,1.9,(R)SAB(rs)ab,(R)SB(s)ab?,,,,,,9.918,0.056,7.19E-28,3.81E-29,1.221E-01,26%,1.22E-27,3.14E-28,4.270E-01,11%,4.27E-27,4.70E-28,,,,,,,,,61.80,113.50,29,72,301.5547,-60.2131
Arp-Madore2019-442,3,A bit small.,,NGC 6902A,0.105,GPair,16650,,,Ring?,SB(s)m pec,,,,,,,,,,,,,,,,,,,,,,,,,,,77.62,21,73,305.7545,-44.2673
Arp-Madore2026-424,4,,,ESO 285- G 019,0.167,GPair,15564,,,(R)SA(r)?,S(r)c,,,,,,12.082,0.095,9.80E-29,8.96E-30,,,,,,,,,,,,,,,,,20.80,,10,52,307.3869,-42.5026
Arp-Madore2029-544,3,ESO 186- G 060 (Vr=3625) -- source on left in IC 5021 at similar Vr. ,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,308.3503,-54.534
Arp-Madore2029-544,3,ESO 186- G 060 (Vr=3625) -- source on left in IC 5021 at similar Vr. ,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,308.3503,-54.534
Arp-Madore2029-544,3,IC 5021 -- can get single pointing for this and previous one.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,308.4,-54.5255
Arp-Madore2029-544,3,IC 5021 -- can get single pointing for this and previous one.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,308.4,-54.5255
Arp-Madore2031-440,4,,,ESO 285-IG 035,0.113,G,8988,,1.3,Pec,pec,,,,,,11.029,0.063,2.58E-28,1.54E-29,4.593E-01,9%,4.59E-27,8.52E-29,4.337E+00,8%,4.34E-26,3.47E-27,,,,,,,,,41.00,61.66,20,53,308.6597,-43.8393
Arp-Madore2034-521,3,can we target companion as well?,,NGC 6935,0.095,G,4543,,2.0,(R)SA(r)a,(R')SA(r)a,,16.2771,0.0348543,1.12E-29,3.59E-31,8.884,0.030,1.86E-27,5.22E-29,1.442E-01,19%,1.44E-27,2.89E-28,7.436E-01,8%,7.44E-27,5.95E-28,,,,,,,,,85.20,124.45,67,76,309.5859,-52.1093
Arp-Madore2035-521,3,,,NGC 6937,0.097,G,4777,,2.3,(R':)SB(r)c,(R')SB(r)c?,,,,,,10.039,0.055,6.43E-28,3.34E-29,3.405E-01,10%,3.40E-27,2.06E-28,3.035E+00,5%,3.04E-26,1.52E-27,,,,,,,,,70.60,103.51,41,77,309.6899,-52.1406
Arp-Madore2038-323,3,Disturbed but not crazy. Could cut.,,NGC 6947,0.179,G,5592,,1.7,(R')SB(rs)b,(R')SB(rs)b,,,,,,9.995,0.046,6.70E-28,2.90E-29,,< 1.838E-01,,< 1.84E-27,3.852E-01,17%,3.85E-27,6.55E-28,,,,,,,,,81.80,,32,78,310.3105,-32.483
Arp-Madore2038-382,4,,,ESO 341-IG 004,0.120,G,6092,,1.9,S0+: pec; LINER?,S0^+? pec,,,,,,10.014,0.034,6.58E-28,2.09E-29,2.719E-01,15%,2.72E-27,1.78E-28,1.308E+00,6%,1.31E-26,7.85E-28,,,,,,,,,38.40,85.11,41,54,310.3094,-38.198
Arp-Madore2038-654,3,"IC 5028, Vr=1623. In nearby galaxy catalog.",,IC 5028,0.132,G,1623,,1.2,IAB(s)m?,IAB(s)m?,,,,,,,,,,,,,,,,,,,,,,,,,,,67.61,16,79,310.8122,-65.6467
Arp-Madore2040-295,4,Very unusual dust lane (spiral arm dragged out vertically?),,IC 5007,0.202,G,2720,,2.6,SAB(s)d        HII,SAB(s)d,,,,,,10.115,0.050,6.00E-28,2.83E-29,,< 2.192E-01,,< 2.19E-27,1.807E+00,6%,1.81E-26,1.08E-27,19.9,2.4,1.99E-28,2.40E-29,,,,,76.20,147.91,59,55,310.8911,-29.7058
Arp-Madore2042-382,3,Fairly smooth but good straight tidal arm,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,311.3691,-38.1741
Arp-Madore2048-571,3,Almost all imaging is in weird filters. Decent F606W w/ WFPC2 but then UV and NICMOS. Check.,,IC 5063,0.169,G,3402,,2.1,SA(s)0+:       Sy2,SA0^+(s)?,Sy 1 h,,,,,8.750,0.020,2.11E-27,3.92E-29,3.910E+00,5%,3.91E-26,5.33E-28,5.337E+00,10%,5.34E-26,5.34E-27,,,,,,,,,81.60,146.22,406,81,313.0004,-57.0685
Arp-Madore2051-410,3,,,ESO 341- G 021,0.132,G,12579,,1.12,(R'_1)SB(r)ab,(R')SB(r)ab,,,,,,,,,,2.249E-01,16%,2.25E-27,2.31E-28,1.126E+00,8%,1.13E-26,9.01E-28,,,,,,,,,,58.88,14,82,313.6249,-40.8127
Arp-Madore2055-541,4,AM 2055-541; line is real.,,AM 2055-541,0.134,GPair,,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,314.7093,-54.1357
Arp-Madore2056-392,3,,,AM 2056-392,0.106,GTrpl,,,,,RING,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,83,315.0327,-39.2994
Arp-Madore2100-393,3,"ESO 341- G 032, Vr=2762 km/s. In S4G",,ESO 341- G 032,0.109,G,2762,,1.5,SB(rs)m,SB(rs)m,,,,,,,,,,,< 2.357E-01,,< 2.36E-27,4.711E-01,15%,4.71E-27,7.07E-28,,,,,,,,,,97.72,35,84,315.8894,-39.4464
Arp-Madore2102-252,3,A bit small and distant..  But pretty. Cut if needed.,,ESO 529- G 020,0.196,G,11855,,1.0:,S...,Sc,,,,,,11.200,0.053,2.21E-28,1.10E-29,,< 2.546E-01,,< 2.55E-27,7.979E-01,7%,7.98E-27,5.58E-28,,,,,,,,,31.80,,13,85,316.4322,-25.2411
Arp-Madore2103-550,3,"ESO 187- G 05, Vr=1405. Has only 814W imaging.  Check if worth adding blue filter.",,ESO 187- G 051,0.093,G,1405,,1.9,SB(s)m,SB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,81.28,38,86,316.8904,-54.9532
Arp-Madore2105-332,3,,,AM 2105-332,0.254,GPair,,,,,M51 Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87,317.029,-33.2409
Arp-Madore2105-632,3,1 ACS 606W filter in archive.  Check -- could add F814W or 475W,,IC 5084,0.104,G,3156,,1.6,SB(s)b? pec,SB(s)b? pec,,,,,,9.250,0.021,1.33E-27,2.60E-29,5.726E-01,6%,5.73E-27,1.13E-28,4.611E+00,5%,4.61E-26,2.30E-27,,,,,,,,,110.20,97.72,38,88,317.3004,-63.2837
Arp-Madore2106-374,3,,,ESO 342-IG 013,0.134,G,2614,,1.6,Pec            HII,pec,,,,,,10.854,0.063,3.04E-28,1.81E-29,,< 2.142E-01,,< 2.14E-27,1.188E+00,6%,1.19E-26,7.13E-28,10.3,1.1,1.03E-28,1.10E-29,,,,,83.20,100.00,44,89,317.5034,-37.501
Arp-Madore2113-341,4,,,ESO 402- G 021,0.265,G,8801,,1.3,SB(s)a? pec,SB(s)a? pec,,20.1772,0.223219,3.08E-31,6.34E-32,10.794,0.050,3.21E-28,1.51E-29,1.421E-01,27%,1.42E-27,3.80E-28,8.417E-01,8%,8.42E-27,6.73E-28,6.4,0.5,6.40E-29,5.00E-30,,,,,43.00,,18,57,319.2605,-33.9902
Arp-Madore2115-273,3,,,AM 2115-273,0.212,GPair,,,,Irr,Irr,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,90,319.5894,-27.3508
Arp-Madore2126-601,4,,,IC 5110,0.086,G,8660,,1.4,SB(r:),Sc + compact,,17.2132,0.0435763,4.73E-30,1.90E-31,10.633,0.070,3.72E-28,2.48E-29,,,,,,,,,,,,,,,,,51.20,85.11,24,58,322.6752,-60.0033
Arp-Madore2128-302,4,"ESO 465- G 004, Vr=10037 km/s. in collisional ring catalog.  ",,AM 2128-302,0.112,GPair,,,,,RING,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,59,322.7861,-30.271
Arp-Madore2128-430,4,Nicmos only,,NGC 7070A,0.085,G,2391,,1.9,(R')SB(l)0/a,I0,,18.9729,0.103118,9.35E-31,8.88E-32,9.310,0.026,1.26E-27,3.05E-29,,< 1.041E-01,,< 1.04E-27,2.264E-01,19%,2.26E-27,4.30E-28,,,,,,,,,91.80,127.35,64,60,322.9443,-42.8489
Arp-Madore2133-384,4,,,ESO 343-IG 013,0.111,GPair,5714,,,LIRG,pair?,,,,,,,,,,8.804E-01,6%,8.80E-27,1.68E-28,5.855E+00,7%,5.85E-26,4.10E-27,,,,,,,,,,,42,61,324.0436,-38.5424
Arp-Madore2134-471,4,,,ESO 287- G 040,0.078,G,9254,,1.2,Ring?,(R)SAB(r)bc pec?,,,,,,10.553,0.050,4.01E-28,1.89E-29,,< 1.306E-01,,< 1.31E-27,3.587E-01,14%,3.59E-27,5.02E-28,,,,,,,,,64.80,73.28,30,62,324.359,-47.0349
Arp-Madore2143-464,4,NGC 7119 Vr=9666 km/s Check if foreground extinction is too high?  (Ned suggests AV=0.053 so fine),,NGC 7119,0.053,GPair,9666,,,,S(s)c,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,63,326.5632,-46.5187
Arp-Madore2143-464,4,(same as previous),,NGC 7119,0.053,GPair,9666,,,,S(s)c,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,63,326.5715,-46.5187
Arp-Madore2143-464,4,(same as previous),WARNING: Same object as in entry 63 - Arp-Madore2143-464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,326.5715,-46.5187
Arp-Madore2145-351,3,"For that much HST obs, it's not clear there's much useful imaging beyond 606. Check. https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwinmL-DiNTYAhVW02MKHdIwBxgQjBwIBA&url=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F2%2F2e%2FNGC_7130_hst_05479_606.png%2F1200px-NGC_7130_hst_05479_606.png&psig=AOvVaw3nUJPCrGTjPDgBQI7WySDG&ust=1515902744435154",,AM 2145-351,0.078,GPair,,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,91,327.0772,-34.9539
Arp-Madore2145-351,3,"For that much HST obs, it's not clear there's much useful imaging beyond 606. Check. https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwinmL-DiNTYAhVW02MKHdIwBxgQjBwIBA&url=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F2%2F2e%2FNGC_7130_hst_05479_606.png%2F1200px-NGC_7130_hst_05479_606.png&psig=AOvVaw3nUJPCrGTjPDgBQI7WySDG&ust=1515902744435154",WARNING: Same object as in entry 91 - Arp-Madore2145-351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,327.0772,-34.9539
Arp-Madore2145-351,3,see comments on previous,,AM 2145-351,0.078,GPair,,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,91,327.0814,-34.9506
Arp-Madore2145-351,3,see comments on previous,WARNING: Same object as in entry 91 - Arp-Madore2145-351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,327.0814,-34.9506
Arp-Madore2146-350,4,,,NGC 7135,0.078,G,2644,,3.0,SA0- pec       HII,SA0^- pec,AGN,,,,,8.852,0.024,1.92E-27,4.29E-29,,< 1.345E-01,,< 1.34E-27,2.180E-01,18%,2.18E-27,3.92E-28,5.9,0.5,5.90E-29,5.00E-30,,,,,102.20,179.89,94,65,327.4425,-34.8746
Arp-Madore2159-320,3,"NGC7172, one viable WFPC2 606W observation; Check. Could add second filter.",,NGC 7172,0.073,G,2603,,2.5,Sa pec sp;Sy2  HII,Sa pec edge-on,Sy 2,,,,,,,,,7.612E-01,7%,7.61E-27,3.06E-28,5.712E+00,6%,5.71E-26,3.43E-27,37.6,1.5,3.76E-28,1.50E-29,,,,,,164.06,399,93,330.4982,-31.8652
Arp-Madore2159-330,4,,,NGC 7187,0.094,G,2670,,1.4,(R)SAB(r)0^+,(R)SA0^+(r),,,,,,,,,,,< 1.479E-01,,< 1.48E-27,2.681E-01,26%,2.68E-27,6.97E-28,,,,,,,,,,72.44,38,66,330.68,-32.8031
Arp-Madore2159-541,3,"Vr=1708 km/s, so not that nearby...",,ESO 189- G 021,0.056,G,1708,,1.8,SAB(s)m,SB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,69.98,12,94,330.6574,-54.0766
Arp-Madore2203-281,4,,,ESO 467- G 003,0.067,G,6999,,1.4,SAB(r)b,(R')SAB(r)bc pec?,,,,,,11.252,0.048,2.10E-28,9.51E-30,,< 9.211E-02,,< 9.21E-28,3.020E-01,20%,3.02E-27,6.04E-28,,,,,,,,,28.40,46.24,28,67,331.5498,-27.9593
Arp-Madore2204-311,4,,,NGC 7204,0.051,GPair,2590,,,S0/a pec:,S0/a pec?,,,,,,,,,,2.842E-01,12%,2.84E-27,1.60E-28,2.420E+00,4%,2.42E-26,9.68E-28,,,,,,,,,,60.26,27,68,331.7215,-31.0523
Arp-Madore2206-280,4,,,NGC 7214,0.053,G,6934,,2.2,SB(s)bc pec:   Sy1.2,SB(s)bc pec?,Sy 1.2,15.3819,0.0174488,2.55E-29,4.10E-31,9.332,0.034,1.23E-27,3.92E-29,3.730E-01,11%,3.73E-27,1.76E-28,1.920E+00,12%,1.92E-26,2.30E-27,29.2,1.6,2.92E-28,1.60E-29,,,,,71.40,139.64,125,69,332.2727,-27.8077
Arp-Madore2209-382,4,"distant, but gotta love those giant arcs.",ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,333.187,-38.174
Arp-Madore2209-382,4,"distant, but gotta love those giant arcs.",ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,333.187,-38.174
Arp-Madore2209-382,4,same as previous.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,333.187,-38.174
Arp-Madore2209-382,4,same as previous.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,333.187,-38.174
Arp-Madore2209-472,3,Disturbed but not crazy. Could cut.,,IC 5170,0.044,G,1618,,3.4,SB0^+,SABa? edge-on,,,,,,9.578,0.033,9.84E-28,3.04E-29,2.817E-01,11%,2.82E-27,1.67E-28,2.317E+00,6%,2.32E-26,1.39E-27,,,,,,,,,105.60,114.82,44,95,333.1209,-47.2225
Arp-Madore2210-262,4,,,NGC 7225,0.062,G,4853,,2.0,SA(s)0/a: pec,SA0/a?(s) pec,,,,,,,,,,2.382E-01,26%,2.38E-27,7.26E-28,2.812E+00,5%,2.81E-26,1.41E-27,19.3,1.1,1.93E-28,1.10E-29,,,,,,131.83,42,72,333.2824,-26.1487
Arp-Madore2210-274,3,"could cut. Not that disturbed. But, possible inner starburst.",,ESO 467- G 023,0.062,G,5269,,1.6,Sab pec:       HII,Sab pec?,,,,,,9.790,0.026,8.09E-28,1.96E-29,3.689E-01,11%,3.69E-27,3.14E-28,3.670E+00,5%,3.67E-26,1.83E-27,43.8,1.7,4.38E-28,1.70E-29,,,,,72.00,108.39,51,96,333.3778,-27.5568
Arp-Madore2210-693,3,"IC 5173, Vr=3107",,IC 5173,0.077,GPair,3107,,,(SBc:) + (S? pec),pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,333.6806,-69.3614
Arp-Madore2213-370,4,only nicmos,,IC 5179,0.055,G,3422,,2.3,SA(rs)bc   HII;LIRG,SA(rs)bc,,,,,,8.621,0.017,2.37E-27,3.75E-29,2.219E+00,5%,2.22E-26,5.71E-28,1.898E+01,5%,1.90E-25,9.49E-27,169.7,6.3,1.70E-27,6.30E-29,,,,,126.40,133.35,280,73,334.042,-36.8437
Arp-Madore2220-423,3,vr=2421 km/s so not that close...,,ESO 289- G 026,0.054,G,2421,,1.9,SB(s)cd,SB(s)dm,,,,,,,,,,,< 6.947E-02,,< 6.95E-28,3.289E-01,12%,3.29E-27,3.95E-28,,,,,,,,,,101.16,42,98,335.8919,-42.2782
Arp-Madore2222-275,3,distant but messy.,,ESO 467-IG 056,0.050,GPair,,,,Double system,pair,,,,,,,,,,,< 3.075E-01,,< 3.07E-27,9.284E-01,8%,9.28E-27,7.43E-28,7.6,0.5,7.60E-29,5.00E-30,,,,,,,5,99,336.3671,-27.6939
Arp-Madore2224-310,3,,,ESO 467- G 062,0.041,G,4055,,1.0,Irr,Irr,,,,,,13.854,0.186,1.92E-29,3.58E-30,,,,,,,,,,,,,,,,,11.00,54.95,12,100,336.7245,-30.8866
Arp-Madore2225-250,4,,,Arp093,0.068,GPair,4633,,,SBa: p + S0 p,M51 Type,,,,,,,,,,,< 1.374E-01,,< 1.37E-27,3.762E-01,21%,3.76E-27,7.90E-28,,,,,,,,,,,20,74,337.1501,-24.8457
Arp-Madore2230-481,4,,,AM 2230-481,0.034,GPair,,,,,RING,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75,338.4319,-48.0234
Arp-Madore2240-892,3,"NGC 2573B, V4=2558",,NGC 2573B,0.399,G,2558,,1.7,IBm? pec,IBm? pec,,17.0836,0.0723998,5.33E-30,3.55E-31,12.115,0.127,9.51E-29,1.18E-29,,,,,,,,,,,,,,,,,31.60,67.61,16,101,346.8969,-89.1192
Arp-Madore2244-651,4,HST images is UV FOC.,,IC 5250,0.089,GPair,3148,,,S0 pec?,S0 pec?,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,76,341.8369,-65.0644
Arp-Madore2254-373,3,WFPC2 but only in 606. Could get other one. https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwi08uiN4tLYAhVC02MKHXLOBZsQjBwIBA&url=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fb%2Fb5%2FNGC_7421_hst_06359_606.png&psig=AOvVaw16FLNBtMCoSZHkcWIIalyA&ust=1515858228188649,,NGC 7421,0.040,G,1792,,2.0,SB(r)bc,SB(rs)bc,,,,,,9.247,0.042,1.33E-27,5.26E-29,,,,,,,,,,,,,,,,,117.60,139.64,98,102,344.2292,-37.3492
Arp-Madore2258-353,3,Not the most exciting. Could cut.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,345.2009,-35.3729
Arp-Madore2258-595,3,,,ESO 147-IG 019,0.056,GPair,10007,,,(SBb:) + (Sa?),pair,,,,,,,,,,1.521E-01,15%,1.52E-27,1.35E-28,1.307E+00,9%,1.31E-26,1.18E-27,,,,,,,,,,,11,104,345.377,-59.636
Arp-Madore2259-692,3,Jets or disrupting satellite? Moderately distant...,,IC 5279,0.104,G,3901,,1.3,(PR?),Sa? pec,,18.3301,0.118691,1.69E-30,1.85E-31,10.762,0.047,3.31E-28,1.46E-29,,< 1.039E-01,,< 1.04E-27,4.667E-01,10%,4.67E-27,4.67E-28,,,,,,,,,51.00,59.57,20,105,345.7609,-69.2106
Arp-Madore2303-305,4,,,ESO 469- G 011,0.071,G,8504,,2.2,Pec            Sy2,pec,,,,,,10.610,0.039,3.80E-28,1.39E-29,3.514E-01,13%,3.51E-27,1.84E-28,2.913E+00,8%,2.91E-26,2.33E-27,24.4,0.9,2.44E-28,9.00E-30,,,,,46.00,79.43,34,77,346.4513,-30.6114
Arp-Madore2325-473,4,,,ESO 240- G 003,0.035,G,15238,,1.4,SB(rs)c,(R)SB(rs)c pec,,,,,,11.172,0.077,2.27E-28,1.67E-29,,< 8.097E-02,,< 8.10E-28,2.865E-01,14%,2.86E-27,4.01E-28,,,,,,,,,39.40,78.52,19,78,351.9559,-47.3812
Arp-Madore2339-661,4,,,AM 2339-661,0.074,GPair,10622,,,,SB(r),,,,,,,,,,1.613E-01,14%,1.61E-27,2.44E-28,1.336E+00,9%,1.34E-26,1.20E-27,,,,,,,,,,,7,79,355.634,-65.9558
Arp-Madore2339-661,4,,WARNING: Same object as in entry 79 - Arp-Madore2339-661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,355.634,-65.9558
Arp-Madore2339-661,4,Duplicate of previous,,AM 2339-661,0.074,GPair,10622,,,,SB(r),,,,,,,,,,1.613E-01,14%,1.61E-27,2.44E-28,1.336E+00,9%,1.34E-26,1.20E-27,,,,,,,,,,,7,79,355.6711,-65.9458
Arp-Madore2339-661,4,Duplicate of previous,WARNING: Same object as in entry 79 - Arp-Madore2339-661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,355.6711,-65.9458
Arp-Madore2346-380,3,Vr=648 km/s so pretty close,,ESO 348- G 009,0.036,G,648,,2.4,IBm,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,106,357.3478,-37.7736
Arp-Madore2348-405,4,(duplicate of previous),,NGC 7764,0.042,G,1697,,1.9,IB(s)m,IB(s)m,H_alpha Emission-Line Galaxy,,,,,10.306,0.060,5.03E-28,2.86E-29,,,,,,,,,,,,,,,,,78.00,113.50,64,81,357.7432,-40.7201
Arp-Madore2348-410,4,,WARNING: Same object as in entry 81 - Arp-Madore2348-405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,357.7225,-40.7351
